rank,venue,status,n_papers,n_2020plus,year_range,cum_share_all,cum_share_2020plus
1,bioRxiv/medRxiv (section unknown),biorxiv-gap,430,252,2005–2026,0.109,0.184
2,Unknown / no identifier,unknown,381,114,2000–2026,0.205,0.267
3,arXiv (cs.LG),arxiv-covered,241,47,2012–2026,0.266,0.435
4,Nature Neuroscience,direct-scan,153,51,2000–2026,0.305,0.401
5,Neuron,direct-scan,136,33,2000–2026,0.339,0.580
6,Proceedings of the National Academy of Sciences,direct-scan,118,35,2005–2026,0.369,0.556
7,Nature,direct-scan,115,52,2000–2026,0.398,0.364
8,Nature Communications,direct-scan,114,81,2014–2026,0.427,0.326
9,The Journal of Neuroscience,direct-scan,100,17,2003–2024,0.453,0.631
10,arXiv (stat.ML),arxiv-covered,100,8,2011–2024,0.478,0.746
11,arXiv (cs.CL),arxiv-covered,97,47,2013–2026,0.503,0.470
12,Trends in Cognitive Sciences,direct-scan,97,29,2000–2026,0.527,0.601
13,Science,direct-scan,78,16,2000–2026,0.547,0.643
14,NeuroImage,direct-scan,77,13,2002–2023,0.566,0.693
15,arXiv (cs.CV),arxiv-gap,77,8,2012–2026,0.586,0.752
16,Nature Human Behaviour,direct-scan,56,39,2016–2026,0.600,0.530
17,Nature Reviews Neuroscience,direct-scan,55,14,2000–2026,0.614,0.663
18,Hippocampus,direct-scan,54,6,2000–2026,0.628,0.761
19,arXiv (unknown),arxiv-gap,54,44,2015–2026,0.641,0.502
20,arXiv (cs.AI),arxiv-covered,50,14,2012–2026,0.654,0.653
21,Scientific Reports,direct-scan,44,24,2011–2025,0.665,0.619
22,arXiv (cs.NE),arxiv-covered,37,5,2013–2024,0.674,0.791
23,Current Biology,direct-scan,37,10,2009–2025,0.684,0.735
24,Psychological Review,listed,36,6,2001–2026,0.693,0.770
25,Cerebral Cortex,direct-scan,31,3,2000–2025,0.701,0.828
26,Journal of Cognitive Neuroscience,listed,31,3,2005–2022,0.709,0.830
27,Psychonomic Bulletin &amp; Review,direct-scan,31,6,2000–2026,0.716,0.775
28,Journal of Experimental Psychology: General,direct-scan,24,3,2000–2025,0.723,0.834
29,arXiv (q-bio.NC),arxiv-covered,23,6,2013–2025,0.728,0.766
30,Neural Computation,listed,23,2,2001–2024,0.734,0.855
31,Cognition,listed,23,6,2007–2023,0.740,0.783
32,Neuropsychologia,listed,22,1,2007–2020,0.746,0.896
33,Frontiers in Psychology,listed,20,3,2012–2023,0.751,0.832
34,Neural Networks,listed,18,4,2000–2023,0.755,0.816
35,Current Opinion in Neurobiology,direct-scan,18,5,2006–2026,0.760,0.810
36,Cell,direct-scan,17,12,2015–2026,0.764,0.702
37,Memory &amp; Cognition,listed,17,6,2003–2026,0.768,0.779
38,Nature Machine Intelligence,direct-scan,17,14,2019–2026,0.773,0.673
39,Scientific Data,direct-scan,17,12,2014–2026,0.777,0.710
40,Annual Review of Psychology,direct-scan,17,0,2005–2017,0.781,1.000
41,Cognitive Science,direct-scan,17,3,2007–2024,0.786,0.843
42,Current Opinion in Behavioral Sciences,direct-scan,16,3,2015–2021,0.790,0.839
43,Trends in Neurosciences,listed,16,5,2000–2024,0.794,0.806
44,eLife,direct-scan,15,12,2017–2026,0.797,0.719
45,Psychological Science,direct-scan,14,1,2003–2021,0.801,0.897
46,Communications Psychology,direct-scan,14,14,2024–2026,0.805,0.683
47,Neurobiology of Learning and Memory,listed,13,0,2004–2018,0.808,1.000
48,Communications Biology,direct-scan,12,11,2018–2025,0.811,0.727
49,Cognitive Psychology,listed,12,3,2005–2025,0.814,0.837
50,Topics in Cognitive Science,listed,11,5,2009–2023,0.817,0.795
51,"Journal of Experimental Psychology: Learning, Memory, and Cognition",listed,11,2,2000–2024,0.819,0.865
52,Cortex,listed,11,2,2015–2021,0.822,0.871
53,Annual Review of Neuroscience,listed,11,0,2000–2016,0.825,1.000
54,Human Brain Mapping,listed,10,1,2005–2020,0.828,0.905
55,Behavioral and Brain Sciences,listed,10,2,2011–2026,0.830,0.856
56,Science Advances,listed,9,8,2018–2025,0.832,0.740
57,Neuroscience Letters,listed,9,0,2018–2018,0.835,1.000
58,Cell Reports,listed,9,5,2016–2025,0.837,0.799
59,Behavior Research Methods,listed,9,6,2017–2024,0.839,0.788
